,longitude,latitude,usage
W 45 St & 6 Ave,-73.98291153,40.7568001,85545
Broadway & W 53 St,-73.98268129,40.76344058,85281
E 27 St & 1 Ave,-73.976806,40.739445,85174
W Broadway & Spring Street,-74.00165855884552,40.72494672359416,84627
W 47 St & 10 Ave,-73.99301222,40.76269882,84512
Central Park West & W 85 St,-73.96961715,40.78472675,84389
E 41 St & Madison Ave,-73.97992193698882,40.752165280621966,83433
Suffolk St & Stanton St,-73.98517977,40.72066442,83345
Hanson Pl & Ashland Pl,-73.97790759801863,40.68506807308177,83023
Watts St & Greenwich St,-74.00965965,40.72405549,83008
E 25 St & 1 Ave,-73.97738662,40.7381765,82336
Bank St & Hudson St,-74.00618026,40.73652889,81842
Broadway & W 51 St,-73.98336183,40.76228826,81342
10 Ave & W 28 St,-74.00176802,40.75066386,81044
E 10 St & 5 Ave,-73.99510132,40.73331967,80002
W 37 St & 5 Ave,-73.98338988,40.75038009,79944
Murray St & West St,-74.013012,40.7149787,79769
Bayard St & Baxter St,-73.99974372,40.71602118,79276
5 Ave & E 78 St,-73.96427392959595,40.77632142182271,79268
E 43 St & 5 Ave,-73.98025184869766,40.754120810779256,78944
Wythe Ave & Metropolitan Ave,-73.963198,40.716887,78868
W 67 St & Broadway,-73.98266566,40.77492513,78441
West Thames St,-74.01713445,40.70834698,78359
Old Fulton St,-73.99383605,40.70277159,77806
Central Park W & W 96 St,-73.964839,40.79127,77641
S 4 St & Wythe Ave,-73.96590294,40.71285887,76480
W 59 St & 10 Ave,-73.988038,40.770513,76130
E 47 St & 2 Ave,-73.97032517,40.75323098,75835
Peck Slip & Front St,-74.00167,40.707873,75553
W 56 St & 10 Ave,-73.988639,40.768254,75420
E 45 St & 3 Ave,-73.97282625,40.75255434,75013
Central Park North & Adam Clayton Powell Blvd,-73.955613,40.799484,74715
Broadway & W 37 St,-73.98753523,40.75172632,74428
E 53 St & Madison Ave,-73.97402311,40.7597108,73926
Bergen St & Smith St,-73.99063168,40.6867443,73270
1 Ave & E 44 St,-73.96905301,40.75001986,73217
Perry St & Bleecker St,-74.00483091,40.73535398,73180
Bank St & Washington St,-74.00859207,40.7361967,73163
E 2 St & Avenue C,-73.98085795,40.7208736,72787
Front St & Washington St,-73.98940236,40.70255088,72470
Rivington St & Chrystie St,-73.9919254,40.72110063,71686
W 70 St & Amsterdam Ave,-73.98288594,40.77748046,71421
Division St & Bowery,-73.9970468,40.71413089,71412
W 53 St & 10 Ave,-73.99061728,40.76669671,71260
E 72 St & York Ave,-73.95348296,40.76663814,70337
Columbus Ave & W 95 St,-73.968087,40.7919557,68569
E 51 St & Lexington Ave,-73.97207836,40.75714758,68086
Central Park West & W 76 St,-73.97374737,40.77896784,67826
W 64 St & Thelonious Monk Circle,-73.98918695747852,40.77515953434235,67075
W 35 St & Dyer Ave,-73.99740189313889,40.754691750226016,66277
Washington Pl & 6 Ave,-74.00026394,40.73224119,66132
Milton St & Franklin St,-73.95779,40.72906,65989
W 16 St & 8 Ave,-74.001384973526,40.74102150900266,65697
Hudson St & Reade St,-74.0091059,40.71625008,65592
Amsterdam Ave & W 79 St,-73.9786517,40.7829391,65177
West Drive & Prospect Park West,-73.97945255041122,40.6610633719006,64540
E 51 St & 1 Ave,-73.96592976,40.75455731,63891
Lenox Ave & W 111 St,-73.9523,40.7987859,63618
E 12 St & 4 Av,-73.98974,40.73269,63596
Fulton St & Adams St,-73.98949474096298,40.69241829257847,63452
Rivington St & Ridge St,-73.98329859,40.71850211,63399
Amsterdam Ave & W 82 St,-73.97667321,40.78524672,63249
Driggs Ave & N 9 St,-73.95520135760307,40.71816969454208,62997
E 6 St & Avenue D,-73.97668709,40.72228087,62690
Pike St & E Broadway,-73.99293911,40.71406667,62258
Cliff St & Fulton St,-74.00495,40.70838,62095
W 50 St & 9 Ave,-73.98917958140373,40.76360467795863,61987
South St & Whitehall St,-74.01234218,40.70122128,61850
E 55 St & 2 Ave,-73.96603308,40.75797322,61679
E 59 St & Madison Ave,-73.97109243,40.76350532,61483
Stanton St & Norfolk St,-73.986274,40.720747,61471
Front St & Maiden Ln,-74.00612572,40.70530954,60922
Fulton St & William St,-74.00653609,40.70955958,60873
Henry St & Grand St,-73.981095,40.714211,60806
Broadway & W 36 St,-73.98765428,40.75097711,60523
Berry St & N 8 St,-73.95852515,40.7190095,59154
W 54 St & 9 Ave,-73.98690506,40.76584941,59125
9 Ave & W 18 St,-74.00366443,40.74317449,59041
Bond St & Fulton St,-73.98304268717766,40.68962188790333,59018
E 48 St & 3 Ave,-73.971878855,40.7546011026,58861
2 Ave & E 72 St,-73.95840793848038,40.7687620293096,58781
Riverside Blvd & W 67 St,-73.98888587951659,40.777507027547976,58262
W 15 St & 6 Ave,-73.99642959237099,40.738046142482766,58030
Park Ave & E 124 St,-73.9396861,40.8045555,57947
E 74 St & 1 Ave,-73.95482273,40.7689738,57587
S 3 St & Bedford Ave,-73.96264403,40.71260486,57372
Clark St & Henry St,-73.99344559,40.69760127,57294
E 5 St & Avenue C,-73.97995466,40.72299208,57098
Bus Slip & State St,-74.013942,40.701907,56995
Riverside Dr & W 72 St,-73.98562431335449,40.78057799010334,56973
W 55 St & 6 Ave,-73.978434,40.763189,56884
W 95 St & Broadway,-73.971888,40.7937704,56434
Old Slip & Front St,-74.00838676,40.7037992,56137
Vernon Blvd & 50 Ave,-73.95411749,40.74232744,55875
W 27 St & 10 Ave,-74.00218427181244,40.75018156325683,55846
Court St & State St,-73.99203074,40.6902375,54906
Franklin St & W Broadway,-74.00666661,40.71911552,54637
Bedford Ave & Nassau Ave,-73.95212324,40.72311651,54153
Willoughby St & Fleet St,-73.9813018,40.69196566,53996
W 76 St & Columbus Ave,-73.97728532552719,40.7801839724239,53970
Avenue D & E 3 St,-73.97793172,40.72082834,53845
Leonard St & Church St,-74.005549,40.717571,53830
Avenue C & E 18 St,-73.973984,40.730563,53787
Lawrence St & Willoughby St,-73.98631746,40.69236178,53405
DeKalb Ave & Hudson Ave,-73.981013,40.689888,53341
Broadway & Berry St,-73.96525063,40.71044554,53248
2 Ave & E 96 St,-73.9471673,40.7839636,52987
Atlantic Ave & Furman St,-73.9999786,40.69165183,52843
Queens Plaza North & Crescent St,-73.94073717,40.75110165,52842
